isbn,genre,cover,title,authors,publisher,year,preco_medio,collection,volume,pages,type,preco_correto
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/maus.jpg,Maus,Fabien Toulme,Quadrinhos na cia,2009,72.23,No collection,0,295,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/bambi_1.jpg,Bambi 1,Atsushi Kaneko,Conrad,2006,19.56,Bambi,1,198,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/nana_1.jpg,Nana 1,Ai Yazawa,JBC,2022,55.16,Nana,1,180,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/ryuko.jpg,Ryuko,Eldo Yoshimizu,JBC,2023,35.38,No collection,0,300,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_blue.jpg,One piece blue,Eichiro Oda,Panini,2015,67.02,One Piece,0,100,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_red.jpg,One piece red,Eichiro Oda,Panini,2022,323.98,One Piece,0,100,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_yellow.jpg,One piece yellow,Eichiro Oda,Panini,2025,24.9,One Piece,0,300,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_1.jpg,One piece 3 em 1 1,Eichiro Oda,Panini,2024,107.27,One Piece,1,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_2.jpg,One piece 3 em 1 2,Eichiro Oda,Panini,2024,74.93,One Piece,2,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_3.jpg,One piece 3 em 1 3,Eichiro Oda,Panini,2024,74.95,One Piece,3,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_4.jpg,One piece 3 em 1 4,Eichiro Oda,Panini,2024,39.54,One Piece,4,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_5.jpg,One piece 3 em 1 5,Eichiro Oda,Panini,2024,140.6,One Piece,5,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_6.jpg,One piece 3 em 1 6,Eichiro Oda,Panini,2024,45.32,One Piece,6,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_7.jpg,One piece 3 em 1 7,Eichiro Oda,Panini,2024,36.67,One Piece,7,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_8.jpg,One piece 3 em 1 8,Eichiro Oda,Panini,2024,43.63,One Piece,8,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_9.jpg,One piece 3 em 1 9,Eichiro Oda,Panini,2024,52.13,One Piece,9,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_10.jpg,One piece 3 em 1 10,Eichiro Oda,Panini,2024,31.52,One Piece,10,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_11.jpg,One piece 3 em 1 11,Eichiro Oda,Panini,2024,48.93,One Piece,11,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_12.jpg,One piece 3 em 1 12,Eichiro Oda,Panini,2024,46.5,One Piece,12,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_13.jpg,One piece 3 em 1 13,Eichiro Oda,Panini,2024,52.75,One Piece,13,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_14.jpg,One piece 3 em 1 14,Eichiro Oda,Panini,2024,41.96,One Piece,14,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_15.jpg,One piece 3 em 1 15,Eichiro Oda,Panini,2024,26.6,One Piece,15,900,Collection,no
0,Mangás,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/one_piece_16.jpg,One piece 3 em 1 16,Eichiro Oda,Panini,2024,44.98,One Piece,16,900,Collection,no
